uidplot,PH_CACL2,CLASS_FIELD_FWSST,BAHA,DISP,FICA4,ILVO,IPSA,JURO,KOVI,LYLI2,MOCE2,OSRE,PAVI2,PHAU7,QUVI,SALA,SADE10,BORO5,SMRO,SOSE,SPPA,TORA2,PITA,TYAN,SCAM6,JUVI,SPAL,IVFR,LICA17,PLOD,SPCY,AVGE,BAMA5,BOFR,SYTE6,ACER,CLADI,CYPER,DICHA2,ELEOC,EUPAT,RUBUS,SABAL
5810,5.3,E2SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0.02,0,0,0,0,0,0,0,0,0,0
5811,6.7,E2EM,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4080,4.2,E2SS,0,0,0,0.2,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,21
4081,3.5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4082,3.3,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4083,5.1,E2SS,0,3.2,5,0,0,90,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1.8,0,0
4084,4.8,E2SS,0.2,22.2,0.4,0.6,3.2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0
4970,7.3,E2EM,0,3.2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4972,5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4973,3.3,E2EM,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0.2,0,0,0,0,0,74.6,0.6,0,0,0,0,2.6,16,0,0,0,0,0,0,0,0,0
4974,3.6,E2SS,0,0,0,6.4,0,0,0,0,1.2,0,0,0,56,0,0,0,0,0,1.8,0,0,0,0,3.2,10,0.6,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
4975,5.9,E2SS,3.2,4,2.2,4,0.2,6,0,0,0,0,0,0,4,0,28.2,0,0,1.6,0,0,0,0,0,25,0,10,0.6,0,0,0,0,18,0,0,0,0,0,0,0.2,0,2
4976,5.3,E2SS,0,0,22.6,0,0,0.2,0,0,7,0,0.6,0,0,0,7.6,0,0,0,7.2,0,0,0,0,0,0,0.4,1.2,0,0,0,0,28,0,0,0,0.2,0,0,3.4,0,0.2
4977,3.6,E2SS,0,0,0,0,0,0,0,0,5,0,0.2,0,18,0,0,0,0,0,0,0.4,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.4,0,0.4,0,30
4978,3.2,E2EM,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4979,3.5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5276,6.4,E2SS,0,11,0,0,0,53,0,0,0,0,0,0,1,0,13.6,0,0,0,0,0,0,0,0,12,20,1,0.02,0,0,0,34,0,0,0,0,0,0,0,0,0,0
5411,4.3,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5413,5.7,E2EM,0,18,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5414,3.9,E2SS,0,0,0.2,3.4,0,13,0,0,2.4,0,1.8,0,25.2,0,0,0,0,0,0,0,0,0,0,0.2,2,0,0.2,0,0,0,0,1.4,0,0,0,0,1.6,0,0,0,14
5415,6.7,E2SS,0.2,6.4,2,3,0.2,18.2,0,0,1,0,0,0,10,0,1.8,0,0,0,18,0,0,0,0,4,0,1,0.6,0,0,0,5,8,0,0,0,0,0,0,0,0,7
5416,6.3,E2SS,0.4,3.6,0,0,0,28,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,2.2,0,0.6,1.2,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0
5417,5.3,E2SS,0,0,0.6,0.2,0,0,0,0,0,0,5.8,0,46,0,0.4,0,0,0,4.2,0,0,0,0,2.8,0,2,0,0,0,0,0.2,9,0,0,0,1,1.4,0,0,0,0
5418,3.3,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5419,6.7,E2EM,0,3,0,0,0,15.6,0,0,0,0,0,0,2.4,0,16.4,0,0,0,13,0,0,0,0,0,30.4,0.2,0.2,0,0,0,8,0.2,0,0,0,0,0,0,0,0,0
5420,6.1,E2SS,0,5,0,0.4,0,4,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,13,13,1,1.2,0,0,0,17.2,29,0,0,0,0,0.2,0,0,0,2
5421,4.3,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5431,4.8,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5432,6,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5433,4.1,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5434,5.7,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5435,5.6,E2EM,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5436,5.5,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5437,3.2,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3654,7.5,E2EM,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,45.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3881,6.8,E2SS,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,100,0,0,0,0,0,0,25,0,0,0,0,28,57,0,0,0,0,0,0,0,0,0
3885,4.1,E2SS,0,0,0,1.2,0,0,0,0,1,0,0,20,0,0.6,0,0,0,3.4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4862,5.1,E2EM,0,8,0,0,0,0,0,0,0,0,0,15.6,0,0,0,20,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4958,5.9,E2EM,0,8,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5111,5.4,E2EM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.2,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5115,4.7,E2EM,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5452,6.3,E2EM,13.2,14,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5455,5.5,E2EM,6,32,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5459,7.5,E2EM,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5460,5.8,E2EM,9,52,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4360,4,E2SS,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,7.02,0,0,0.28,0,45.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
4364,4.6,E2SS,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,0,0,0,2.6,0,98,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
4366,5.7,E2SS,2,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.04,0,0,0.24,33.04,0.02,0,0,0,0,4.2,55,0.24,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
4368,5,E2SS,0,0,0,0,0,0,0,0,0,0,0.6,53.02,0,0,0,0,0.64,0,0,1.84,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
4380,3.5,E2SS,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.22,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.02,0.64,0
4289,4.7,E2EM,0,2,0,0,0,30,0,0.02,0,0,0,54,0,0,0,0,0,0,6.2,0,0,0,1.2,0,7.04,3.2,0.04,0.02,1,0,0,0,0,0,0,0,0,0,0,0,0
4290,5.1,E2EM,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
4299,6,E2SS,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,29,0,0,0,0,0,24,3.22,0.06,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
