UID,PH,COND,TN,TP,VMMI,RFREQ_AC,XRCOV_AC,P_T
4967,7.95,50390,1.71,156,56.4,0,0,957.38
5378,7.9,53210,0.563,0,53.4,0,0,114.28
5381,8.06,33260,0.673,33,55,0,0,641.74
5383,7.85,52850,0.505,85,75,0,0,392.03
5384,7.12,36950,3.331,57,57.6,0,0,372.18
5385,7.54,46460,0.319,60,80.6,0,0,282.78
5387,#N/A,#N/A,#N/A,#N/A,82.7,0,0,198.13
5679,7.93,55740,0.363,72,56.4,0,0,821.87
5682,7.16,60890,2.744,46,56.2,12.5,0.85,262.46
5805,7.76,50280,0.328,39,57.1,0,0,298.54
5807,8.01,33650,0.763,44,55,0,0,1057.24
5808,#N/A,#N/A,#N/A,#N/A,79,0,0,337.88
5810,#N/A,#N/A,#N/A,#N/A,51.3,11.11,7.69,168.83
5811,#N/A,#N/A,#N/A,#N/A,75,0,0,32.86
4080,#N/A,#N/A,#N/A,#N/A,74.7,0,0,52.61
4081,7.45,43670,1.043,261,75,0,0,389.23
4082,7.53,49120,1.793,585,75,0,0,373.87
4083,#N/A,#N/A,#N/A,#N/A,81,0,0,197.5
4084,#N/A,#N/A,#N/A,#N/A,82.1,0,0,101.61
4309,7.69,42420,0.455,57,77.3,0,0,618.32
4970,#N/A,#N/A,#N/A,#N/A,79.5,0,0,76.82
4971,#N/A,#N/A,#N/A,#N/A,79.5,0,0,150.67
4972,7.55,46980,0.618,96,75,0,0,364.44
4973,7.84,46400,0.625,136,78.5,0,0,555.68
4974,7.57,49760,0.763,115,66.6,0,0,60.31
4975,#N/A,#N/A,#N/A,#N/A,61.4,2.13,4.85,607.01
4976,#N/A,#N/A,#N/A,#N/A,64.7,5.63,0.65,3038.01
4977,#N/A,#N/A,#N/A,#N/A,69.7,0,0,33.35
4978,#N/A,#N/A,#N/A,#N/A,75,0,0,354.32
4979,7.5,43940,1.223,259,75,0,0,365.82
5276,#N/A,#N/A,#N/A,#N/A,74.4,0,0,140.44
5411,7.32,43870,0.854,237,75,0,0,205.43
5413,#N/A,#N/A,#N/A,#N/A,80.4,0,0,213.69
5414,7.69,47090,0.678,105,73.6,0,0,128.06
5415,#N/A,#N/A,#N/A,#N/A,78.3,0,0,52.46
5416,#N/A,#N/A,#N/A,#N/A,68.6,0,0,43.41
5417,#N/A,#N/A,#N/A,#N/A,75.1,0,0,515.88
5418,7.67,53580,0.559,69,75,0,0,353.62
5419,7.61,48990,0.875,233,79,0,0,297.71
5420,7.46,50050,0.616,180,71.4,0,0,106.43
5421,7.72,50460,0.44,65,75,0,0,458.18
5431,7.57,46120,0.6,146,75,0,0,576.3
5432,7.55,48840,0.914,175,75,0,0,628.3
5433,7.55,48770,1.335,381,75,0,0,380.25
5434,7.55,52490,0.568,318,75,0,0,485.69
5435,7.29,39640,1.815,328,80.9,0,0,439.02
5436,7.56,50390,0.751,209,75,0,0,580.35
5437,7.7,49990,0.369,98,75,0,0,300.91
3654,#N/A,#N/A,#N/A,#N/A,67.3,25,3.66,272.27
3655,8.18,34590,0.629,92,82.9,0,0,0
3656,7.62,452.9,1.173,145,23.8,70,67.65,0
3657,8.08,2261,1.011,349,76.6,0,0,0
3659,8.32,33980,0.71,90,83.7,0,0,0
3660,7.88,28990,0.858,23,59.9,10.71,25.49,0
3661,7.91,1818,1.078,168,74.5,9.09,0.11,0
3864,8.03,30260,0.933,120,74.8,0,0,0
3881,8.45,33380,0.645,76,57.5,10.53,15.26,843.75
3885,7.96,2687,1.28,420,43.5,19.23,40.96,472.85
3886,7.99,564.8,0.948,113,47.1,22.73,44.49,0
3887,7.96,472.5,2.179,233,21.2,85.71,98.84,0
3888,7.62,1340,1.193,131,41,42.86,49.5,0
3890,8.03,1296,0.908,132,66.1,11.11,2.22,0
3930,7.37,1308,0.808,113,23.9,45.45,88.65,0
3931,#N/A,#N/A,#N/A,#N/A,22.5,44.44,91.87,0
3932,7.22,3968,3.043,567,23.1,87.5,99.06,0
3933,8.11,25470,1.955,358,73.5,0,0,0
4054,7.21,14570,1.808,143,24.6,55.56,98.43,0
4055,7.55,14020,1.295,154,29.6,38.46,73.42,0
4754,7.79,13660,1.833,398,77.4,0,0,0
4756,8.05,27060,0.863,104,77.4,0,0,0
4757,8.18,23510,0.84,174,70,25,4.05,0
4862,6.83,1788,3.268,2283,71.5,5.56,17.72,502.93
4954,7.67,21840,1.031,136,80.1,0,0,0
4955,8,30890,0.958,129,71.9,0,0,0
4956,8.16,6727,2.184,210,72.4,0,0,0
4958,8.06,12390,0.825,107,82.3,0,0,513.77
5111,8.58,7677,1.121,64,77.8,0,0,408.36
5112,8.26,35220,5.425,588,77.7,0,0,0
5115,#N/A,#N/A,#N/A,#N/A,82.6,0,0,169.19
5118,7.94,1489,0.726,131,81.4,0,0,0
5270,8.72,14870,1.12,141,69.7,0,0,0
5452,#N/A,#N/A,#N/A,#N/A,78.2,0,0,257.85
5453,8.29,5497,1.56,258,26.7,39.13,92.33,0
5455,8.46,20250,2.256,243,63.8,8.33,21.6,171.87
5456,7.58,8235,1.345,164,24.4,100,100,0
5459,#N/A,#N/A,#N/A,#N/A,75.5,0,0,492.38
5460,8.03,18700,1.698,81,75.8,0,0,348.79
5681,8.55,3126,1.184,114,80.8,0,0,0
4360,8.09,33330,0.59,61,32,11.39,37.67,39.16
4364,6.44,2117,1.968,535,28.6,10.34,81.68,476.71
4366,5.75,1859,0.79,72,62.8,11.11,18.43,548.36
4368,5.98,3283,1.258,61,29.7,6.25,65.68,113.54
4380,#N/A,#N/A,#N/A,#N/A,42.3,6.8,0.64,95.68
4289,7.57,19980,1.123,71,57,19.23,51.57,758.57
4290,7.85,20450,4.038,136,79,0,0,518.31
4299,7.51,40480,1.183,33,83.9,0,0,26.71
4302,7.62,18220,3.238,117,26.2,25,92.95,799.15
4303,7.25,18800,3.275,192,76.7,7.14,0.22,679.39
